display_name,yahoo_symbol,exchange,type,company_name
3MINDIA,3MINDIA.BO,BSE,equity,3M India Limited
A2ZINFRA,A2ZINFRA.BO,BSE,equity,A2Z Infra Engineering Limited
AAATECH,AAATECH.BO,BSE,equity,AAA Technologies Limited
AADHARHFC,AADHARHFC.BO,BSE,equity,Aadhar Housing Finance Limited
AAREYDRUGS,AAREYDRUGS.BO,BSE,equity,Aarey Drugs & Pharmaceuticals Limited
AARTISURF,AARTISURF.BO,BSE,equity,Aarti Surfactants Limited
AAVAS,AAVAS.BO,BSE,equity,Aavas Financiers Limited
ABAN,ABAN.BO,BSE,equity,Aban Offshore Limited
ABBOTINDIA,ABBOTINDIA.BO,BSE,equity,Abbott India Limited
ABFRL,ABFRL.BO,BSE,equity,Aditya Birla Fashion and Retail Limited
ABREL,ABREL.BO,BSE,equity,Aditya Birla Real Estate Limited
ABSLAMC,ABSLAMC.BO,BSE,equity,Aditya Birla Sun Life AMC Limited
ABSLNN50ET,ABSLNN50ET.BO,BSE,equity,
ACC,ACC.BO,BSE,equity,ACC Limited
ACE,ACE.BO,BSE,equity,Action Construction Equipment Limited
ACI,ACI.BO,BSE,equity,Archean Chemical Industries Limited
ACL,ACL.BO,BSE,equity,Andhra Cements Limited
ACMESOLAR,ACMESOLAR.BO,BSE,equity,Acme Solar Holdings Limited
ACUTAAS,ACUTAAS.BO,BSE,equity,Acutaas Chemicals Limited
ADANIENSOL,ADANIENSOL.BO,BSE,equity,Adani Energy Solutions Limited
ADANIGREEN,ADANIGREEN.BO,BSE,equity,Adani Green Energy Limited
ADANIPOWER,ADANIPOWER.BO,BSE,equity,Adani Power Limited
ADL,ADL.BO,BSE,equity,Archidply Decor Limited
ADSL,ADSL.BO,BSE,equity,Allied Digital Services Limited
ADVAIT,ADVAIT.BO,BSE,equity,Advait Energy Transitions Limited
ADVENZYMES,ADVENZYMES.BO,BSE,equity,Advanced Enzyme Technologies Limited
AEGISLOG,AEGISLOG.BO,BSE,equity,Aegis Logistics Limited
AEQUS,AEQUS.BO,BSE,equity,Aequs Limited
AEROENTER,AEROENTER.BO,BSE,equity,Aeroflex Enterprises Limited
AEROFLEX,AEROFLEX.BO,BSE,equity,Aeroflex Industries Limited
AERONEU,AERONEU.BO,BSE,equity,Aeroflex Neu Limited
AETHER,AETHER.BO,BSE,equity,Aether Industries Limited
AFFORDABLE,AFFORDABLE.BO,BSE,equity,Affordable Robotic & Automation Limited
AFIL,AFIL.BO,BSE,equity,Akme Fintrade (India) Limited
AFSL,AFSL.BO,BSE,equity,Abans Financial Services Limited
AGARIND,AGARIND.BO,BSE,equity,Agarwal Industrial Corporation Limited
AGRITECH,AGRITECH.BO,BSE,equity,Agri-Tech (India) Limited
AIIL,AIIL.BO,BSE,equity,Authum Investment & Infrastructure Limited
AJMERA,AJMERA.BO,BSE,equity,Ajmera Realty & Infra India Limited
AKI,AKI.BO,BSE,equity,AKI India Limited
AKSHAR,AKSHAR.BO,BSE,equity,Akshar Spintex Limited
AKSHOPTFBR,AKSHOPTFBR.BO,BSE,equity,Aksh Optifibre Limited
AKZOINDIA,AKZOINDIA.BO,BSE,equity,Akzo Nobel India Limited
ALBERTDAVD,ALBERTDAVD.BO,BSE,equity,Albert David Limited
ALGOQUANT,ALGOQUANT.BO,BSE,equity,Algoquant Fintech Limited
ALIVUS,ALIVUS.BO,BSE,equity,Alivus Life Sciences Limited
ALLDIGI,ALLDIGI.BO,BSE,equity,Alldigi Tech Limited
ALLTIME,ALLTIME.BO,BSE,equity,All Time Plastics Limited
ALPA,ALPA.BO,BSE,equity,Alpa Laboratories Limited
ALPHA,ALPHA.BO,BSE,equity,
ALPHAETF,ALPHAETF.BO,BSE,equity,
ALPHAGEO,ALPHAGEO.BO,BSE,equity,Alphageo (India) Limited
ALPL30IETF,ALPL30IETF.BO,BSE,equity,
AMANTA,AMANTA.BO,BSE,equity,Amanta Healthcare Limited
AMBER,AMBER.BO,BSE,equity,Amber Enterprises India Limited
AMBICAAGAR,AMBICAAGAR.BO,BSE,equity,Ambica Agarbathies & Aroma industries Limited
ANGELONE,ANGELONE.BO,BSE,equity,Angel One Limited
ANURAS,ANURAS.BO,BSE,equity,Anupam Rasayan India Limited
APARINDS,APARINDS.BO,BSE,equity,Apar Industries Limited
APCOTEXIND,APCOTEXIND.BO,BSE,equity,Apcotex Industries Limited
APEX,APEX.BO,BSE,equity,Apex Frozen Foods Limited
APLLTD,APLLTD.BO,BSE,equity,Alembic Pharmaceuticals Limited
APOLLO,APOLLO.BO,BSE,equity,Apollo Micro Systems Limited
APTECHT,APTECHT.BO,BSE,equity,Aptech Limited
APTUS,APTUS.BO,BSE,equity,Aptus Value Housing Finance India Limited
AQYLON,AQYLON.BO,BSE,equity,Aqylon Nexus Limited
ARCHIDPLY,ARCHIDPLY.BO,BSE,equity,Archidply Industries Limited
ARIES,ARIES.BO,BSE,equity,Aries Agro Limited
ARIHANTSUP,ARIHANTSUP.BO,BSE,equity,Arihant Superstructures Limited
ARIS,ARIS.BO,BSE,equity,Arisinfra Solutions Limited
ARKADE,ARKADE.BO,BSE,equity,Arkade Developers Limited
AROGRANITE,AROGRANITE.BO,BSE,equity,Aro Granite Industries Limited
ARVSMART,ARVSMART.BO,BSE,equity,Arvind SmartSpaces Limited
ASAHISONG,ASAHISONG.BO,BSE,equity,Asahi Songwon Colors Limited
ASAL,ASAL.BO,BSE,equity,Automotive Stampings and Assemblies Limited
ASHAPURMIN,ASHAPURMIN.BO,BSE,equity,Ashapura Minechem Limited
ASHIANA,ASHIANA.BO,BSE,equity,Ashiana Housing Limited
