display_name,yahoo_symbol,exchange,type,company_name
20MICRONS,20MICRONS.NS,NSE,equity,20 Microns Limited
21STCENMGM,21STCENMGM.NS,NSE,equity,21st Century Management Services Limited
360ONE,360ONE.NS,NSE,equity,360 ONE WAM LIMITED
3IINFOLTD,3IINFOLTD.NS,NSE,equity,3i Infotech Limited
3MINDIA,3MINDIA.NS,NSE,equity,3M India Limited
3PLAND,3PLAND.NS,NSE,equity,3P Land Holdings Limited
5PAISA,5PAISA.NS,NSE,equity,5Paisa Capital Limited
63MOONS,63MOONS.NS,NSE,equity,63 moons technologies limited
A2ZINFRA,A2ZINFRA.NS,NSE,equity,A2Z Infra Engineering Limited
AAATECH,AAATECH.NS,NSE,equity,AAA Technologies Limited
AADHARHFC,AADHARHFC.NS,NSE,equity,Aadhar Housing Finance Limited
AAKASH,AAKASH.NS,NSE,equity,Aakash Exploration Services Limited
AAREYDRUGS,AAREYDRUGS.NS,NSE,equity,Aarey Drugs & Pharmaceuticals Limited
AARNAV,AARNAV.NS,NSE,equity,Aarnav Fashions Limited
AARON,AARON.NS,NSE,equity,Aaron Industries Limited
AARTECH,AARTECH.NS,NSE,equity,Aartech Solonics Limited
AARTIDRUGS,AARTIDRUGS.NS,NSE,equity,Aarti Drugs Limited
AARTIIND,AARTIIND.NS,NSE,equity,Aarti Industries Limited
AARTIPHARM,AARTIPHARM.NS,NSE,equity,Aarti Pharmalabs Limited
AARTISURF,AARTISURF.NS,NSE,equity,Aarti Surfactants Limited
AARVEEDEN,AARVEEDEN.NS,NSE,equity,
AARVI,AARVI.NS,NSE,equity,Aarvi Encon Limited
AAVAS,AAVAS.NS,NSE,equity,Aavas Financiers Limited
ABAN,ABAN.NS,NSE,equity,Aban Offshore Limited
ABB,ABB.NS,NSE,equity,ABB India Limited
ABBOTINDIA,ABBOTINDIA.NS,NSE,equity,Abbott India Limited
ABCAPITAL,ABCAPITAL.NS,NSE,equity,Aditya Birla Capital Limited
ABCOTS,ABCOTS.NS,NSE,equity,A B Cotspin India Limited
ABDL,ABDL.NS,NSE,equity,Allied Blenders and Distillers Limited
ABFRL,ABFRL.NS,NSE,equity,Aditya Birla Fashion and Retail Limited
ABGSEC,ABGSEC.NS,NSE,equity,
ABINFRA,ABINFRA.NS,NSE,equity,A B Infrabuild Limited
ABLBL,ABLBL.NS,NSE,equity,Aditya Birla Lifestyle Brands Limited
ABMINTLLTD,ABMINTLLTD.NS,NSE,equity,ABM International Limited
ABREL,ABREL.NS,NSE,equity,Aditya Birla Real Estate Limited
ABSL10BANK,ABSL10BANK.NS,NSE,equity,
ABSLAMC,ABSLAMC.NS,NSE,equity,Aditya Birla Sun Life AMC Limited
ABSLBANETF,ABSLBANETF.NS,NSE,equity,
ABSLLIQUID,ABSLLIQUID.NS,NSE,equity,
ABSLMSCIN,ABSLMSCIN.NS,NSE,equity,
ABSLNN50ET,ABSLNN50ET.NS,NSE,equity,
ABSLPSE,ABSLPSE.NS,NSE,equity,
ACC,ACC.NS,NSE,equity,ACC Limited
ACCELYA,ACCELYA.NS,NSE,equity,Accelya Solutions India Limited
ACCURACY,ACCURACY.NS,NSE,equity,Accuracy Shipping Limited
ACE,ACE.NS,NSE,equity,Action Construction Equipment Limited
ACEINTEG,ACEINTEG.NS,NSE,equity,Ace Integrated Solutions Limited
ACI,ACI.NS,NSE,equity,Archean Chemical Industries Limited
ACL,ACL.NS,NSE,equity,Andhra Cements Limited
ACLGATI,ACLGATI.NS,NSE,equity,
ACMESOLAR,ACMESOLAR.NS,NSE,equity,Acme Solar Holdings Limited
ACUTAAS,ACUTAAS.NS,NSE,equity,Acutaas Chemicals Limited
ADANIENSOL,ADANIENSOL.NS,NSE,equity,Adani Energy Solutions Limited
ADANIENT,ADANIENT.NS,NSE,equity,Adani Enterprises Limited
ADANIGREEN,ADANIGREEN.NS,NSE,equity,Adani Green Energy Limited
ADANIPORTS,ADANIPORTS.NS,NSE,equity,Adani Ports and Special Economic Zone Limited
ADANIPOWER,ADANIPOWER.NS,NSE,equity,Adani Power Limited
ADFFOODS,ADFFOODS.NS,NSE,equity,ADF Foods Limited
ADL,ADL.NS,NSE,equity,Archidply Decor Limited
ADOR,ADOR.NS,NSE,equity,Ador Welding Limited
ADORWELD,ADORWELD.NS,NSE,equity,
ADROITINFO,ADROITINFO.NS,NSE,equity,Adroit Infotech Limited
ADSL,ADSL.NS,NSE,equity,Allied Digital Services Limited
ADVAIT,ADVAIT.NS,NSE,equity,Advait Energy Transitions Limited
ADVANCE,ADVANCE.NS,NSE,equity,Advance Agrolife Limited
ADVANIHOTR,ADVANIHOTR.NS,NSE,equity,Advani Hotels & Resorts (India) Limited
ADVENTHTL,ADVENTHTL.NS,NSE,equity,Advent Hotels International Limited
ADVENZYMES,ADVENZYMES.NS,NSE,equity,Advanced Enzyme Technologies Limited
AEGISCHEM,AEGISCHEM.NS,NSE,equity,
AEGISLOG,AEGISLOG.NS,NSE,equity,Aegis Logistics Limited
AEGISVOPAK,AEGISVOPAK.NS,NSE,equity,Aegis Vopak Terminals Limited
AEQUS,AEQUS.NS,NSE,equity,Aequs Limited
AEROENTER,AEROENTER.NS,NSE,equity,Aeroflex Enterprises Limited
AEROFLEX,AEROFLEX.NS,NSE,equity,Aeroflex Industries Limited
AERONEU,AERONEU.NS,NSE,equity,Aeroflex Neu Limited
AETHER,AETHER.NS,NSE,equity,Aether Industries Limited
AFCONS,AFCONS.NS,NSE,equity,Afcons Infrastructure Limited
AFFLE,AFFLE.NS,NSE,equity,Affle 3i Limited
AFFORDABLE,AFFORDABLE.NS,NSE,equity,Affordable Robotic & Automation Limited
AFIL,AFIL.NS,NSE,equity,Akme Fintrade (India) Limited
AFSL,AFSL.NS,NSE,equity,Abans Financial Services Limited
AGARIND,AGARIND.NS,NSE,equity,Agarwal Industrial Corporation Limited
AGARWALEYE,AGARWALEYE.NS,NSE,equity,Dr. Agarwal's Health Care Limited
AGI,AGI.NS,NSE,equity,AGI Greenpac Limited
AGIIL,AGIIL.NS,NSE,equity,Agi Infra Limited
AGRITECH,AGRITECH.NS,NSE,equity,Agri-Tech (India) Limited
AGROPHOS,AGROPHOS.NS,NSE,equity,Agro Phos India Limited
AGSTRA,AGSTRA.NS,NSE,equity,AGS Transact Technologies Limited
AHCL,AHCL.NS,NSE,equity,Anlon Healthcare Limited
AHL,AHL.NS,NSE,equity,
AHLADA,AHLADA.NS,NSE,equity,Ahlada Engineers Limited
AHLEAST,AHLEAST.NS,NSE,equity,Asian Hotels (East) Limited
AHLUCONT,AHLUCONT.NS,NSE,equity,Ahluwalia Contracts (India) Limited
AIAENG,AIAENG.NS,NSE,equity,AIA Engineering Limited
AIIL,AIIL.NS,NSE,equity,Authum Investment & Infrastructure Limited
AIRAN,AIRAN.NS,NSE,equity,Airan Limited
AIROLAM,AIROLAM.NS,NSE,equity,Airo Lam limited
AJANTPHARM,AJANTPHARM.NS,NSE,equity,Ajanta Pharma Limited
AJAXENGG,AJAXENGG.NS,NSE,equity,Ajax Engineering Limited
AJMERA,AJMERA.NS,NSE,equity,Ajmera Realty & Infra India Limited
AJOONI,AJOONI.NS,NSE,equity,Ajooni Biotech Limited
AKASH,AKASH.NS,NSE,equity,Akash Infra-Projects Limited
AKG,AKG.NS,NSE,equity,Akg Exim Limited
AKI,AKI.NS,NSE,equity,AKI India Limited
AKSHAR,AKSHAR.NS,NSE,equity,Akshar Spintex Limited
AKSHARCHEM,AKSHARCHEM.NS,NSE,equity,AksharChem India Limited
AKSHOPTFBR,AKSHOPTFBR.NS,NSE,equity,Aksh Optifibre Limited
AKUMS,AKUMS.NS,NSE,equity,Akums Drugs and Pharmaceuticals Limited
AKZOINDIA,AKZOINDIA.NS,NSE,equity,Akzo Nobel India Limited
ALANKIT,ALANKIT.NS,NSE,equity,Alankit Limited
ALBERTDAVD,ALBERTDAVD.NS,NSE,equity,Albert David Limited
ALEMBICLTD,ALEMBICLTD.NS,NSE,equity,Alembic Limited
ALGOQUANT,ALGOQUANT.NS,NSE,equity,Algoquant Fintech Limited
ALICON,ALICON.NS,NSE,equity,Alicon Castalloy Limited
ALIVUS,ALIVUS.NS,NSE,equity,Alivus Life Sciences Limited
ALKALI,ALKALI.NS,NSE,equity,Alkali Metals Limited
ALKEM,ALKEM.NS,NSE,equity,Alkem Laboratories Limited
ALKYLAMINE,ALKYLAMINE.NS,NSE,equity,Alkyl Amines Chemicals Limited
ALLCARGO,ALLCARGO.NS,NSE,equity,Allcargo Logistics Limited
ALLDIGI,ALLDIGI.NS,NSE,equity,Alldigi Tech Limited
ALLSEC,ALLSEC.NS,NSE,equity,
